business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Gift house Madhepura,Gifting,Gift shop,Gift shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,4.9,34.0,"Madhepura, Bihar 852113",852114,25.924002299999998,86.7946728,ChIJ7wYIVMM37jkRr4gzEraKHFU,https://www.google.com/maps/place/?q=place_id:ChIJ7wYIVMM37jkRr4gzEraKHFU,part_399,2026-09-20 20:19:15,2735
Pratap Gift,Gifting,Gift shop,Gift shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 92979 27172,http://pratapgift.com/,4.9,35.0,"Station Road main road, beside shalom Public School, Madhepura, Bihar 852113",852114,25.9100349,86.7791206,ChIJHWdx3iI37jkRJYl_eKOW-Po,https://www.google.com/maps/place/?q=place_id:ChIJHWdx3iI37jkRJYl_eKOW-Po,part_399,2026-09-20 20:19:15,2736
Kangan Gift House,Gifting,Gift shop,Gift shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,4.0,9.0,"ward no.20, Kangan Gift House, 1611/21, Main Rd, Madhepura, Bihar 852113",852114,25.916736099999998,86.7893261,ChIJHx7c0tM27jkR22fO_fAxd0w,https://www.google.com/maps/place/?q=place_id:ChIJHx7c0tM27jkR22fO_fAxd0w,part_399,2026-09-20 20:19:15,2737
SACHIN GIFT HOUSE,Gifting,Gift shop,Gift shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,4.0,3.0,"Gudri, Bihariganj, Bihar 852101",Gudri,25.733029199999997,86.98766739999999,ChIJv3dDzG3R7zkRYCqdRg2fpL4,https://www.google.com/maps/place/?q=place_id:ChIJv3dDzG3R7zkRYCqdRg2fpL4,part_399,2026-09-20 20:19:15,2738
Chanchal gift house aman kumar,Gifting,Gift shop,Gift shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 74800 50794,N/A,5.0,61.0,"GUPTA MARKET, Chanchal gift house, main road, Kishunganj, Bihar 852220",852114,25.683004099999998,86.9511867,ChIJe5fb53XV7zkRxtjyEgb6x-U,https://www.google.com/maps/place/?q=place_id:ChIJe5fb53XV7zkRxtjyEgb6x-U,part_399,2026-09-20 20:19:15,2739
Lakho Devi,Gifting,Gift shop,Gift shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,5.0,2.0,"near JayKrishna yadav kerna start, ward no 08 Dhurganow To, Bihar 852114",852114,25.952411599999998,86.9000172,ChIJgydj9cM17jkRpdt2SczVTbI,https://www.google.com/maps/place/?q=place_id:ChIJgydj9cM17jkRpdt2SczVTbI,part_399,2026-09-20 20:19:15,2740
Gift 🎁House🏠,Gifting,Gift shop,Gift shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 95256 00994,N/A,4.9,15.0,"Ranibagh, near primary school, ranibagh, bhattatola, Bhaktiarpur, Bihar 852127","ranibagh, bhattatola",25.7255281,86.59823279999999,ChIJmVKERgAj7jkR2KaSdR9vpZo,https://www.google.com/maps/place/?q=place_id:ChIJmVKERgAj7jkR2KaSdR9vpZo,part_399,2026-09-20 20:19:15,2741
Anchal Shringar and Gift Corner,Gifting,Gift shop,Gift shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 99556 78457,N/A,,,"Pastpar Bazar, Bihar 852107",852114,25.8365232,86.84164609999999,ChIJARaQgHsz7jkRXWUfAMsukUg,https://www.google.com/maps/place/?q=place_id:ChIJARaQgHsz7jkRXWUfAMsukUg,part_399,2026-09-20 20:19:15,2742
DHIRAJ GIFT HOUSE,Gifting,Gift shop,Gift shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 80514 03280,N/A,,,"Shop No 4,ward No 6, Beraili To Singjeshwar, birali, Singheshwar, Supaul, Bihar 852128",birali,25.9810314,86.8519101,ChIJX7G9xJI17jkR0Qmvx9xmnuI,https://www.google.com/maps/place/?q=place_id:ChIJX7G9xJI17jkR0Qmvx9xmnuI,part_399,2026-09-20 20:19:15,2743
Mr. Saurabh das,Gifting,Gift shop,Gift shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,2.5,2.0,"2VVR+J2Q, Bihar 852132",852114,26.0440869,86.8901181,ChIJVeMmtbFL7jkR0vxr13PW2sk,https://www.google.com/maps/place/?q=place_id:ChIJVeMmtbFL7jkR0vxr13PW2sk,part_399,2026-09-20 20:19:15,2744
Golden gift house,Gifting,Gift shop,Gift shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,https://www.facebook.com/profile.php?id=100021941461137,5.0,1.0,"Mathahi Rd, Mathahi, Mathahi Panchayat, Bihar 852121",852114,25.906794899999998,86.7262444,ChIJNfAJ1yY77jkRe4zomXNW_HE,https://www.google.com/maps/place/?q=place_id:ChIJNfAJ1yY77jkRe4zomXNW_HE,part_399,2026-09-20 20:19:15,2745
Gift Store,Gifting,Gift shop,Gift shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 79790 06819,N/A,,,"Shop No 06 Miragadh Murliganj Madepura, Rd, near by Shiv Mandir, Miragadh, Bihar 852122",852114,25.8685929,86.9332826,ChIJtfvIljfN7zkRMzQxl9_a9YQ,https://www.google.com/maps/place/?q=place_id:ChIJtfvIljfN7zkRMzQxl9_a9YQ,part_399,2026-09-20 20:19:15,2746
Gift Gallery,Gifting,Gift shop,Gift shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 73680 34360,N/A,4.8,18.0,"Bharat chauk Pohaddi, road, Benipur, Bihar 847103",852114,26.0541849,86.15284849999999,ChIJYTYbJWnd7TkRzKOTmVg2iC4,https://www.google.com/maps/place/?q=place_id:ChIJYTYbJWnd7TkRzKOTmVg2iC4,part_399,2026-09-20 20:19:15,2747
Ravindra Yadav Trader's,Gifting,Home goods store,Home goods store,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 94314 48941,N/A,4.7,36.0,"Ward No. 03, Siswa Rd, Murho, Bihar 852114",852114,25.8788134,86.8572356,ChIJ7X3o0qUz7jkRIEZfk1oW7lA,https://www.google.com/maps/place/?q=place_id:ChIJ7X3o0qUz7jkRIEZfk1oW7lA,part_399,2026-09-20 20:19:15,2748
Fancy Footwear & Gift Corner,Gifting,Gift shop,Gift shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 75439 26411,N/A,,,"Shankarpur, Bihar 852107",852114,26.031673899999998,86.8691225,ChIJGbr5ERJL7jkRFtaz5P4Vwog,https://www.google.com/maps/place/?q=place_id:ChIJGbr5ERJL7jkRFtaz5P4Vwog,part_399,2026-09-20 20:19:15,2749
GiFt ViLLa 🎁,Gifting,Gift shop,Gift shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 92792 55041,N/A,5.0,2.0,"Bargachchok, Badi Khanjarpur, Bhagalpur, Bihar 812001","Bargachchok, Badi Khanjarpur",25.2588831,86.9945224,ChIJZ08N0x838DkRxfMHGnvbzsI,https://www.google.com/maps/place/?q=place_id:ChIJZ08N0x838DkRxfMHGnvbzsI,part_399,2026-09-20 20:19:15,2750
Gupta gift stationary & mobile comun,Gifting,Gift shop,"Gift shop, Gift basket store",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 95346 63508,N/A,4.0,4.0,"Badi Saraswati Mandir, Po, sukthia Bazar, Ps-gopalpur, Ratanganj, Bihar 853205","sukthia Bazar, Ps-gopalpur",25.3343615,87.1921563,ChIJ5yLMOQg_8DkRC1_eoj34fbs,https://www.google.com/maps/place/?q=place_id:ChIJ5yLMOQg_8DkRC1_eoj34fbs,part_399,2026-09-20 20:19:15,2751
"MOMENTS WRAP | Gifts , Cake & Flower Bouquet Shop in Biharsharif,Nalanda",Gifting,Gift shop,Gift shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 84488 02280,https://www.instagram.com/mw_momentswrap?igsh=OTZ2cmNzcTBpMzRw&utm_source=qr,4.9,121.0,"Radha krishna market, Garhpar, Bihar Sharif, Bihar 803101",Garhpar,25.198276999999997,85.52373829999999,ChIJE1yWUAD18jkR6Ypuy0JTlOc,https://www.google.com/maps/place/?q=place_id:ChIJE1yWUAD18jkR6Ypuy0JTlOc,part_399,2026-09-20 20:19:15,2752
WELCOME GIFT HOUSE,Gifting,Grocery store,Grocery store,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,4.8,9.0,"XQMV+4VX, Main Road, Singheshwar, Singhesar Asthan, Bihar 852128",852114,25.982907899999997,86.794735,ChIJ_REqWgA37jkR2PMTGRTIhmA,https://www.google.com/maps/place/?q=place_id:ChIJ_REqWgA37jkR2PMTGRTIhmA,part_399,2026-09-20 20:19:15,2753
Maa Nilam Shringar Store and Gift house,Gifting,Gift shop,Gift shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 95707 06206,http://maanilamshringar.blogspot.com/,,,"Ward no 13, Shreepur Road, near Railway Factory, Chakla, Madhepura, Bihar 852121",852114,25.905668199999997,86.74728139999999,ChIJb9Qnrzwx7jkRD6V7gRbpnqY,https://www.google.com/maps/place/?q=place_id:ChIJb9Qnrzwx7jkRD6V7gRbpnqY,part_399,2026-09-20 20:19:15,2754
Neelam General Store,Gifting,Shopping mall,"Shopping mall, General store",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 82718 30906,N/A,4.4,36.0,"Pastpar, Bihar 852107",852114,25.8368859,86.841162,ChIJ0WJ2vxQy7jkRGoOsyiquWpY,https://www.google.com/maps/place/?q=place_id:ChIJ0WJ2vxQy7jkRGoOsyiquWpY,part_399,2026-09-20 20:19:16,2755
Chotu Gift Haus,Gifting,Gift shop,Gift shop,852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",+91 99314 88348,N/A,5.0,1.0,"Menrod Petrol Pamp Ke Pas, Menrod Nayabajar Bihariganj, Bihariganj, Bihar 852101",852115,25.7266275,86.9778673,ChIJT61T6L_T7zkRw8urW4Ol_TU,https://www.google.com/maps/place/?q=place_id:ChIJT61T6L_T7zkRw8urW4Ol_TU,part_399,2026-09-20 20:19:52,5822
अंकुश मनीहारा उदाकेशुनगंज,Gifting,Gift shop,Gift shop,852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",+91 70703 24675,N/A,5.0,2.0,"MWGQ+529, Kishunganj, Bihar 852220",852115,25.6754134,86.93761599999999,ChIJW-KTcADV7zkRLVwCqD93vjc,https://www.google.com/maps/place/?q=place_id:ChIJW-KTcADV7zkRLVwCqD93vjc,part_399,2026-09-20 20:19:52,5823
Himanshu Nitya Genral Store,Gifting,Gift shop,Gift shop,852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",+91 95927 15574,N/A,4.3,4.0,"03, Gangaura, Bihar 852101",852115,25.7238555,86.9326356,ChIJQVInykzT7zkRrtkPY3e2x8k,https://www.google.com/maps/place/?q=place_id:ChIJQVInykzT7zkRrtkPY3e2x8k,part_399,2026-09-20 20:19:52,5824
Mangwar Electronics,Gifting,Gift shop,Gift shop,852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",+91 99310 57621,http://mangwar.weebly.com/,4.7,3.0,"Main Road, Mangwar, Bihar 852217",852115,25.7461088,86.8019351,ChIJTcyrquou7jkRrc12Nl1q3NM,https://www.google.com/maps/place/?q=place_id:ChIJTcyrquou7jkRrc12Nl1q3NM,part_399,2026-09-20 20:19:52,5825
Pari Cosmatic And Gifts House Babhangama,Gifting,Gift shop,Gift shop,852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",+91 99150 89165,N/A,,,"QXQG+FV, 06, Babhangama, Bihariganj, Bihar 852101",852115,25.7891609,86.97734899999999,ChIJtWZ2yRrT7zkR7SEDJUJnMH8,https://www.google.com/maps/place/?q=place_id:ChIJtWZ2yRrT7zkR7SEDJUJnMH8,part_399,2026-09-20 20:19:52,5826
Chandani singer and gift coner,Gifting,Gift shop,"Gift shop, Hindu temple",852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",N/A,N/A,5.0,2.0,"Patarghat - Jamhara - Atalkha Road, men road, Patarghat, Bihar 852217",852115,25.775921699999998,86.7850149,ChIJf5eV6ZUv7jkR6ViQIloRHbk,https://www.google.com/maps/place/?q=place_id:ChIJf5eV6ZUv7jkR6ViQIloRHbk,part_399,2026-09-20 20:19:52,5827
Suman Gift House,Gifting,Gift shop,Gift shop,852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",+91 87094 87011,N/A,,,"Mangwar, Bihar 852217",852115,25.746798599999998,86.8023185,ChIJhbUH-KMv7jkR3uE4mPOjt4Q,https://www.google.com/maps/place/?q=place_id:ChIJhbUH-KMv7jkR3uE4mPOjt4Q,part_399,2026-09-20 20:19:52,5828
ASTUTI GIFT CORNER,Gifting,Gift shop,Gift shop,852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",+91 79798 09424,N/A,4.9,34.0,"ROAD NATHANAGAR, Sardarpur, Champanala, Bhagalpur, Bihar 812006","Sardarpur, Champanala",25.239425999999998,86.927567,ChIJC31E8rJL8DkRsxmy7UjKa8I,https://www.google.com/maps/place/?q=place_id:ChIJC31E8rJL8DkRsxmy7UjKa8I,part_399,2026-09-20 20:19:52,5829
MANPASAND GIFT HOUSE,Gifting,Gift shop,Gift shop,852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",+91 86778 89018,N/A,4.1,14.0,"khanpati TILKMANJHI CHOWK, Bihar 812001",Surkhikal,25.254525899999997,87.0005879,ChIJRx-9zh828DkRElGgeO0IAIQ,https://www.google.com/maps/place/?q=place_id:ChIJRx-9zh828DkRElGgeO0IAIQ,part_399,2026-09-20 20:19:52,5830
Gifts & Toys,Gifting,Gift shop,"Gift shop, Toy store",852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",+91 94316 90573,N/A,4.2,37.0,"DN Singh Rd, Khalifabagh Chowk, Shah Market, Bhagalpur, Bihar 812001","Khalifabagh Chowk, Shah Market",25.2467623,86.9768319,ChIJ08Y3AwRK8DkRlZE7YbC299s,https://www.google.com/maps/place/?q=place_id:ChIJ08Y3AwRK8DkRlZE7YbC299s,part_399,2026-09-20 20:19:52,5831
Gifting Delight,Gifting,Gift shop,"Gift shop, Corporate gift supplier",852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",+91 99772 24680,https://www.instagram.com/gifting.delight?igsh=YThhY3Z3anQzYjhs&utm_source=qr,4.9,189.0,"West Boring Canal Rd, near Tata Motors, Anandpuri, Patna, Bihar 800001",Anandpuri,25.616386,85.1204616,ChIJWYV8_ytZ7TkRxHQmLRwQp48,https://www.google.com/maps/place/?q=place_id:ChIJWYV8_ytZ7TkRxHQmLRwQp48,part_399,2026-09-20 20:19:52,5832
LETSIMPRINT,Gifting,Gift shop,Gift shop,852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",+91 77659 91636,N/A,4.9,170.0,"KANCHAN AND SUBHASH BHAWAN ALOK BHAWAN GALI, Gali Number 2, near SHIVMANDIR, Yogipur, Kankarbagh, Patna, Bihar 800020","Yogipur, Kankarbagh, Bankman Colony",25.5939828,85.1644073,ChIJA6qKiiFZ7TkRZb4ndq6pTQ4,https://www.google.com/maps/place/?q=place_id:ChIJA6qKiiFZ7TkRZb4ndq6pTQ4,part_399,2026-09-20 20:19:52,5833
Handmade love gift,Gifting,Gift shop,"Gift shop, Gift basket store, Handicraft, Packaging company, Wedding store",852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",+91 95046 06023,https://instagram.com/handmade_love_gift?igshid=ZGUzMzM3NWJiOQ==,5.0,24.0,"Bankipur - Danapur Rd, near Ganesh book house, Bibiganj, Danapur Bazar, Sadar Bazar, Danapur Cantonment, Patna, Bihar 801503","Bibiganj, Danapur Bazar, Sadar Bazar, Danapur Cantonment",25.6372987,85.04706279999999,ChIJDahKDLVX7TkR07v0R-hXgPU,https://www.google.com/maps/place/?q=place_id:ChIJDahKDLVX7TkR07v0R-hXgPU,part_399,2026-09-20 20:19:52,5834
Gayatri shringar and general store pachlakh Saharsa,Gifting,Gift shop,Gift shop,852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",N/A,N/A,,,"Gayatri shringar and general store, Pachlakh, Bihar 852217",852115,25.7678451,86.8446218,ChIJg6oWBkUt7jkRZlK_mRvXXy0,https://www.google.com/maps/place/?q=place_id:ChIJg6oWBkUt7jkRZlK_mRvXXy0,part_399,2026-09-20 20:19:54,5835
MAA DURGA SRINGAR & GIFT ZONE,Gifting,Cosmetics store,Cosmetics store,852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",+91 94734 89658,N/A,5.0,,"MAA Durga Sringar And Gift Zone, HATIYA COMPLEX, NH 106, Reshna Bazar, near Ram Janki Mandir, Reshana, Bihar 852115",852115,25.8089685,86.860692,ChIJ-Tnh9TYt7jkRkI3kd3pNeoA,https://www.google.com/maps/place/?q=place_id:ChIJ-Tnh9TYt7jkRkI3kd3pNeoA,part_399,2026-09-20 20:19:54,5836
"Ayushi cosmetics , bangles , gift and stationary Shop",Gifting,Cosmetics store,Cosmetics store,852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",N/A,N/A,,,"Udakishunganj - Madhepura Rd, Uda, Madhuban, Bihar 852101",852115,25.7099376,86.9267983,ChIJaWzYgQ_V7zkRHsfv118EPYk,https://www.google.com/maps/place/?q=place_id:ChIJaWzYgQ_V7zkRHsfv118EPYk,part_399,2026-09-20 20:19:54,5837
Diya Dixita shringar store & Gift place,Gifting,Gift shop,Gift shop,852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",+91 95233 29833,N/A,5.0,,"Mahua Bazar, Mahua patti Uttarwari, Bihar 852219",Mahua Bazar,25.6886875,86.8268125,ChIJRbcd9Owr7jkRFrrpQSJejZo,https://www.google.com/maps/place/?q=place_id:ChIJRbcd9Owr7jkRFrrpQSJejZo,part_399,2026-09-20 20:19:54,5838
"MN ENTERPRISES, Main Road, Udakishunganj, Near Durga Mandir, Madhepura.",Gifting,Gift shop,Gift shop,852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",N/A,N/A,,,"Durga mandir road, Main road, near studio Suchitra, Udakishungan, Kishunganj, Bihar 852220",Udakishungan,25.682481199999998,86.9507352,ChIJSd0HCN_V7zkR33A-rekz_M4,https://www.google.com/maps/place/?q=place_id:ChIJSd0HCN_V7zkR33A-rekz_M4,part_399,2026-09-20 20:19:54,5839
Resham Singhar Store,Gifting,Gift shop,Gift shop,852115,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Gwalpara SO, Anandpura BO, Basnahi BO",+91 62071 99758,N/A,,,"0, Udakishunganj - Madhepura Rd, Kishunganj, Bihar 852220",852115,25.682523,86.9507908,ChIJbVdRCUvV7zkRv_Uf6E7Zwfw,https://www.google.com/maps/place/?q=place_id:ChIJbVdRCUvV7zkRv_Uf6E7Zwfw,part_399,2026-09-20 20:19:54,5840
Sarsawati Cosmetic and Gift house,Gifting,Gift shop,Gift shop,852116,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Puraini Bazar SO, Akbarpur BO, Aurai BO",+91 95349 41042,N/A,3.0,,"mahadev chowk, Rahua Rahua, manjoura, Durgapur, Jotaili, Bihar 852116",manjoura,25.6273651,87.0113933,ChIJ-XpNsw8p8DkRPWF7JT8olPg,https://www.google.com/maps/place/?q=place_id:ChIJ-XpNsw8p8DkRPWF7JT8olPg,part_399,2026-09-20 20:20:32,7709
Ronak Sringar Store And Gift,Gifting,Gift shop,Gift shop,852116,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Puraini Bazar SO, Akbarpur BO, Aurai BO",+91 90602 26447,N/A,,,"Birendra Public School, Manjoura Main Market, Durgapur, Manjaura, Bihar 852116",852116,25.6545351,87.0158232,ChIJXwbX8TfX7zkRhTBIwcQomr4,https://www.google.com/maps/place/?q=place_id:ChIJXwbX8TfX7zkRhTBIwcQomr4,part_399,2026-09-20 20:20:32,7710
Roshani Sringar Store,Gifting,Gift shop,Gift shop,852116,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Puraini Bazar SO, Akbarpur BO, Aurai BO",+91 87894 36519,N/A,,,"Birendra Public School, Manjoura Main Road, Durgapur, Manjaura, Bihar 852116",852116,25.654633399999998,87.0156477,ChIJf4O1emDX7zkRXEz80r9McYY,https://www.google.com/maps/place/?q=place_id:ChIJf4O1emDX7zkRXEz80r9McYY,part_399,2026-09-20 20:20:32,7711
Maa Jwala Shingar &Gift House,Gifting,Gift shop,Gift shop,852116,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Puraini Bazar SO, Akbarpur BO, Aurai BO",+91 94318 52597,N/A,,,"Shop no 05, near by Hanuman Mandir, Phulaut, Bihar 852219",852116,25.510983799999998,86.93909289999999,ChIJwZU2uDct8DkRb1NUWEG9QkE,https://www.google.com/maps/place/?q=place_id:ChIJwZU2uDct8DkRb1NUWEG9QkE,part_399,2026-09-20 20:20:32,7712
Indal Garments,Gifting,Gift shop,Gift shop,852116,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Puraini Bazar SO, Akbarpur BO, Aurai BO",+91 86768 70492,N/A,,,"Manjora Rd, Rahijagatpur, Bihar 852116",852116,25.6769799,87.0380249,ChIJQaPuA5LX7zkR2uT7o2qtWPE,https://www.google.com/maps/place/?q=place_id:ChIJQaPuA5LX7zkR2uT7o2qtWPE,part_399,2026-09-20 20:20:32,7713
Diwyanshi Gift Corner,Gifting,Gift shop,Gift shop,852116,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Puraini Bazar SO, Akbarpur BO, Aurai BO",+91 95347 74285,N/A,,,"Market, near Airtel Tower, Chausa, Bihar 852213",852116,25.53231,87.0325877,ChIJ_Sxf_zAv8DkRz19iQA8BHQI,https://www.google.com/maps/place/?q=place_id:ChIJ_Sxf_zAv8DkRz19iQA8BHQI,part_399,2026-09-20 20:20:32,7714
Rima Shrinagar And Gift House,Gifting,Gift shop,Gift shop,852116,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Puraini Bazar SO, Akbarpur BO, Aurai BO",+91 82101 04030,N/A,,,"Udakishnganj Gudri Chok, Bihar 854204",852116,25.6629029,87.0574302,ChIJ5_pq3AbX7zkRBcAmqVBlLOQ,https://www.google.com/maps/place/?q=place_id:ChIJ5_pq3AbX7zkRBcAmqVBlLOQ,part_399,2026-09-20 20:20:32,7715
Niraj Plastic Shop,Gifting,Gift shop,Gift shop,852116,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Puraini Bazar SO, Akbarpur BO, Aurai BO",+91 90065 01391,N/A,5.0,,"03, Katihar, Bihar 852116",852116,25.5990498,86.98861749999999,ChIJGQ14jJgp8DkR5a1pH1yLwAI,https://www.google.com/maps/place/?q=place_id:ChIJGQ14jJgp8DkR5a1pH1yLwAI,part_399,2026-09-20 20:20:32,7716
Amjadi Computer And Stationary Shop,Gifting,Stationery store,Stationery store,852116,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Puraini Bazar SO, Akbarpur BO, Aurai BO",+91 75494 89033,N/A,5.0,,"Madheli Main Market Udakishunganj Rd, Shankarpur Madhaili, Bihar 852219",852116,25.617434,86.93430049999999,ChIJU3Gd0lIr8DkRjedznaynkB4,https://www.google.com/maps/place/?q=place_id:ChIJU3Gd0lIr8DkRjedznaynkB4,part_399,2026-09-20 20:20:32,7717
Thank You Krafts,Gifting,Corporate gift supplier,"Corporate gift supplier, Gift shop, Gift basket store",852116,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Puraini Bazar SO, Akbarpur BO, Aurai BO",+91 98300 82163,N/A,5.0,,"Vardhman Nagar Society, Naya Tola, Bhikhana Pahari, Patna, Bihar 800016","Naya Tola, Bhikhana Pahari",25.614406499999998,85.1633415,ChIJecoI3rFZ7TkR6HzZYez26QY,https://www.google.com/maps/place/?q=place_id:ChIJecoI3rFZ7TkR6HzZYez26QY,part_399,2026-09-20 20:20:33,7718
JAISWAL GIFT HOUSE,Gifting,Gift shop,Gift shop,852116,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Puraini Bazar SO, Akbarpur BO, Aurai BO",+91 70707 04241,N/A,5.0,,"Machhar Hatta, Machharhatta, Patna, Bihar 800008","Machhar Hatta, Machharhatta",25.5991093,85.2250627,ChIJHw8Q0HBf7TkR7oVoPGt5HSM,https://www.google.com/maps/place/?q=place_id:ChIJHw8Q0HBf7TkR7oVoPGt5HSM,part_399,2026-09-20 20:20:33,7719
Nandani sringaar store & gift corner.,Gifting,Studying center,"Studying center, Make-up artist",852116,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Puraini Bazar SO, Akbarpur BO, Aurai BO",+91 82103 88736,http://www.utsavcosgift.com/,5.0,,"bazar, Puraini, Bihar 852116",852116,25.5977964,86.98876539999999,ChIJJ-GAhUkp8DkRmyYBjoTXJak,https://www.google.com/maps/place/?q=place_id:ChIJJ-GAhUkp8DkRmyYBjoTXJak,part_399,2026-09-20 20:20:33,7720
Mukesh Metal Store,Gifting,Gift shop,"Gift shop, Cosmetics store",852116,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Puraini Bazar SO, Akbarpur BO, Aurai BO",+91 96610 45050,N/A,5.0,,"Shop No-01, Bihariganj - Puraini Rd, near Central Bank, Puraini, Bihar 852116",852116,25.5989629,86.990408,ChIJJesHl3Yp8DkRw38O0wB4OY0,https://www.google.com/maps/place/?q=place_id:ChIJJesHl3Yp8DkRw38O0wB4OY0,part_399,2026-09-20 20:20:33,7721
